Protein	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
proX										0	0	0	0	0	0	0	0	0																0	0	0.97882	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
prpC	2.3651	4.5094	2.2542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	1.4804	0.82091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							2.3217	2.2516	3.285	3.2386	2.2877	4.0591	1.0515	1.9794	2.9017	3.2685	0	2.0781	0	1.0543	1.1431	0	0	0						
prpD	2.3651	2.2547	2.2542	0	1.0448	0	0	0	0	0	0	0	0	0	0	0	0	0							2.1193	2.2206	1.6418	1.1729	0	0	0	0	0	0	0	0	0	0	0	0	0	0							6.965	10.132	7.665	3.2386	1.1438	3.0443	2.103	1.9794	2.9017	2.179	2.456	2.0781	0	1.0543	1.1431	0	0	0						
prsA	13.402	12.777	14.276	17.633	13.583	12.326	14.322	15.294	17.491	15.582	14.6	17.279	13.183	15.505	17.041	11.77	13.843	13.724	18.226	15.735	14.168	19.229	20.029	19.287	12.716	12.584	11.493	11.729	11.786	12.013	11.235	11.068	10.925	11.513	10.913	10.767	11.276	12.337	10.75	9.9691	8.663	9.7171	9.9321	12.044	11.607	10.351	12.802	12.065	9.2866	9.0064	9.855	15.113	13.726	12.177	13.67	12.866	15.476	13.074	12.28	13.508	11.696	12.652	13.717	13.134	14.682	13.34	16.196	15.672	13.487	12.815	15.665	15.947
psd	0	0.75156	0	0	0	0	0	0	0	0	0	0.78539	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	1.1258	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
pspA										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0.93814	0.97882	0.88936	5.0612	4.8975	3.8535	2.746	3.9162	1.7718
pspC	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	1.1258	0	0	0	0	0	0	0															
pssA																			0	0	0	0	0	0																			0	0	0	0	1.0669	0																			0	0	0	0	0	0
pstB																			0	0	0	0	0	0																			0.99321	0	0	1.882	1.0669	1.0054																			0	0	0	2.746	1.9581	2.6578
pstS										0	0	0	0	0	0	1.9616	2.3072	0	3.2164	1.049	3.036	2.8844	1.0541	1.0151										0	0	0	0	0	0	16.947	18.289	18.463	24.83	26.278	20.048	20.702	20.27	23.125										0	0	0	0	0	0	0	0	0	0	0.9795	0	22.883	23.497	29.235
pta	26.017	25.553	26.299	24.893	20.896	19.516	18.414	19.664	20.77	18.698	17.674	18.064	13.183	15.505	13.632	14.712	14.997	14.78	24.659	20.981	17.204	16.345	13.704	13.196	21.193	24.427	23.806	26.976	25.714	25.118	20.223	18.816	20.757	11.513	17.857	17.619	9.2256	10.281	8.6001	13.957	10.588	7.7737	11.919	12.044	11.607	7.5278	9.6017	7.038	32.503	25.893	30.66	25.908	22.877	20.296	26.288	25.732	27.083	28.327	24.56	32.211	20.467	17.923	20.575	15.948	15.661	12.451	12.147	13.713	11.561	12.815	16.644	13.289
ptsG	7.0954	5.2609	6.0111	7.2606	7.3137	7.1901	6.138	7.6472	5.4659	4.6745	3.8422	4.7123	4.7938	2.215	4.5441	1.9616	3.4608	2.1115	3.2164	2.0981	3.036	1.9229	3.1624	2.0302	6.3579	5.1814	6.5673	5.8643	7.4999	5.4604	6.7409	6.6409	6.5547	9.4196	4.9604	6.8517	1.0251	3.0842	4.3001	2.9907	1.9251	1.9434	2.9796	1.0949	2.1103	3.7639	2.1337	2.0109	6.965	5.629	4.38	5.3976	4.5754	7.1035	6.3091	5.9382	4.8362	6.537	4.912	7.2734	5.8478	4.2172	6.8583	4.6907	3.9153	3.5575	4.049	2.9385	2.8901	1.8306	1.9581	3.5437
ptsH	3.9419	4.5094	4.5083	0	4.1793	4.1087	3.069	4.3698	2.1864	3.8954	3.0738	3.1416	3.5953	3.3226	5.6802	3.9232	5.7679	4.2229	4.2886	4.1961	4.048	3.8458	4.2165	3.0453	4.2386	3.701	4.1045	2.3457	3.2142	3.2763	3.3704	3.3204	2.1849	2.0932	1.9841	2.9364	3.0752	3.0842	3.2251	1.9938	1.9251	2.9151	3.9728	4.3797	4.2207	3.7639	4.2674	5.0272	4.6433	3.3774	3.285	4.3181	2.2877	2.0296	2.103	1.9794	2.9017	4.358	4.912	3.1172	6.8225	4.2172	5.7153	3.7526	3.9153	3.5575	5.0612	5.877	3.8535	5.4919	3.9162	3.5437
ptsI	28.382	25.553	26.299	22.819	18.807	19.516	19.437	19.664	20.77	26.489	25.359	25.918	23.969	21.043	18.177	23.539	24.225	26.393	30.02	25.177	27.324	25.959	23.191	22.332	30.73	29.608	29.553	25.803	18.214	19.658	15.729	19.923	18.572	18.839	20.833	18.598	16.401	18.505	18.275	22.929	21.176	20.406	22.844	22.993	23.214	23.524	22.404	19.103	22.056	27.019	20.805	18.352	21.733	14.207	17.876	16.825	17.41	20.7	19.648	17.664	23.391	21.086	19.432	22.515	22.513	23.123	21.257	28.406	21.194	25.629	28.393	26.578
ptsN										0.77909	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
purA	17.344	15.031	15.779	18.67	16.717	17.462	24.552	20.757	26.236	42.071	49.181	45.553	65.914	65.344	56.802	58.848	64.601	49.619	56.824	61.893	56.673	66.34	67.465	75.117	19.074	15.544	14.776	15.247	15	13.105	19.099	18.816	17.479	27.212	24.802	23.492	53.304	57.571	55.901	50.842	58.716	52.472	48.667	65.695	62.255	64.928	67.212	62.337	17.412	16.887	16.425	15.113	12.582	16.236	14.721	19.794	13.541	22.879	23.332	21.82	22.417	24.249	26.29	45.969	44.047	46.247	61.747	62.688	60.693	52.173	54.827	54.041
purB	7.8838	9.7703	7.5139	10.372	8.3585	8.2173	6.138	4.3698	4.3727	7.7909	6.1476	5.4977	4.7938	6.6451	4.5441	4.904	5.7679	3.1672	6.4329	3.1471	7.0841	1.9229	2.1083	1.0151	2.1193	3.701	5.7464	2.3457	3.2142	2.1842	4.4939	3.3204	2.1849	2.0932	1.9841	1.9576	5.1253	5.1403	6.4501	1.9938	2.8877	4.8586	2.9796	2.1898	4.2207	3.7639	2.1337	3.0163	5.8041	6.7548	6.57	3.2386	3.4315	4.0591	3.1545	2.9691	5.8034	4.358	3.684	3.1172	2.9239	5.2715	3.4292	4.6907	4.8941	3.5575	6.0735	3.918	5.7803	6.4073	4.8953	3.5437
purC	0.78838	1.5031	0.75139	0	0	0	2.046	1.0925	0	11.686	11.527	10.21	14.381	13.29	13.632	13.731	13.843	11.613	12.866	12.588	13.156	10.576	10.541	12.181	0	0	0	0	0	0	0	0	0	0	0	0	6.1504	5.1403	6.4501	4.9845	5.7754	4.8586	6.9525	6.5695	8.4413	4.7049	5.3343	2.0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5051	8.8093	8.8936	9.1102	8.8155	11.561	11.899	9.7906	8.8592
purE																			1.0721	0	0	0	0	0																			0	0	0	0.94098	0	0																			0	0	0	0	0	0
purF										0.77909	0.76845	0.78539	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
purH										2.3373	1.5369	2.3562	0	0	1.136	0	0	0	0	0	0	2.8844	0	0										0	0	0	0	0	1.075	0	0	0	0	1.0949	0	0	0	0										0	0	0	0	0	0	2.8144	0	0.88936	3.0367	4.8975	3.8535	2.746	1.9581	3.5437
purL	0.78838	0.75156	0.75139	1.0372	1.0448	1.0272	0	0	0	2.3373	0.76845	1.5708	0	1.1075	1.136	0	0	0	0	0	0	1.9229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9795	0	0	0	0
purM										0.77909	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0						
purU	3.1535	3.0062	2.2542	1.0372	0	2.0543	1.023	1.0925	1.0932	0.77909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0597	1.4804	1.6418	0	0	1.0921	2.247	1.1068	0	2.0932	0.99207	0.97882	1.0251	0	0	0	0	0	0	1.0949	0	0.94098	1.0669	1.0054	2.3217	1.1258	2.19	2.159	1.1438	2.0296	1.0515	0.98969	0	0	1.228	1.0391	0.97464	1.0543	1.1431	0.93814	0	0.88936	0	0	0	0	0	0
pykA	7.8838	7.5156	8.2653	0	0	0	5.115	5.4623	4.3727	12.465	10.758	7.8539	0	0	0	0	0	0	5.3607	4.1961	8.0961	2.8844	1.0541	5.0755	3.179	6.6619	6.5673	0	0	0	0	0	0	0	0.99207	1.9576	0	0	0	0	0	0	2.9796	0	2.1103	2.8229	4.2674	4.0217	8.1258	10.132	12.045	0	0	0	0	0	0	1.0895	2.456	0	0	0	0	0	0	0	1.0122	0.9795	0.96338	7.3226	7.8325	7.0874
pykF	23.651	24.801	24.796	22.819	22.986	25.679	24.552	28.404	28.423	0	0	0	33.556	32.118	35.217	40.213	40.375	42.229	38.597	39.863	41.492	39.42	46.382	47.709	23.312	23.687	25.448	15.247	16.071	15.289	14.605	14.389	16.387	0	0	0	28.702	25.701	21.5	30.904	29.839	29.151	38.735	30.658	36.931	36.698	34.14	39.212	23.217	22.516	25.185	25.908	22.877	21.31	28.391	26.722	22.247	0	0	28.055	34.112	27.412	30.863	30.959	28.386	33.796	38.465	39.18	38.535	38.444	41.121	35.437
pyrB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2576	2.9691	5.8034	6.537	3.684	5.1953	3.8986	5.2715	3.4292	1.8763	0.97882	1.7787	0	0.9795	0	0.91532	0	0.88592
pyrC										3.8954	3.0738	3.1416	0	0	0	0.98079	0	0	1.0721	0	1.012	3.8458	4.2165	1.0151										0	0	0	1.0251	1.0281	0	0	1.9251	0.97171	1.9864	1.0949	2.1103	4.7049	3.2006	2.0109										0	0	0	0	0	0	0.93814	0	0.88936	3.0367	8.8155	4.8169	0.91532	1.9581	1.7718
pyrD	0	0.75156	0	0	0	1.0272	0	0	0	5.4536	4.6107	5.4977	3.5953	4.4301	3.4081	3.9232	4.6143	2.1115	5.3607	3.1471	2.024	2.8844	2.1083	4.0604	0	0	0	0	0	0	0	0	0	0	0	0	6.1504	6.1683	4.3001	1.9938	1.9251	0.97171	1.9864	1.0949	1.0552	0.94098	1.0669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8763	0.97882	1.7787	2.0245	1.959	4.8169	0.91532	0.97906	2.6578
pyrG	14.979	12.025	12.774	13.484	8.3585	9.2445	8.184	12.017	9.8386	12.465	13.064	12.566	5.9922	8.8602	9.0883	9.8079	6.9215	9.5015	12.866	13.637	15.18	16.345	17.92	19.287	13.776	13.324	11.493	5.8643	7.4999	9.8288	6.7409	6.6409	9.8321	6.2797	5.9524	7.8305	5.1253	5.1403	5.3751	4.9845	6.7379	6.802	5.9593	4.3797	6.331	13.174	6.4012	10.054	8.1258	10.132	6.57	8.6361	12.582	7.1035	7.3606	7.9176	8.7052	5.4475	8.5961	7.2734	8.7718	4.2172	5.7153	12.196	11.746	13.34	19.233	17.631	17.341	10.984	14.686	13.289
pyrH	2.3651	0	0.75139	1.0372	1.0448	1.0272	1.023	1.0925	2.1864										0	0	0	0.96145	0	0	0	0.74021	0	1.1729	2.1428	1.0921	0	0	2.1849										0	0	0	0	0	0	0	0	0	2.159	1.1438	1.0148	2.103	0.98969	1.9345										0	0	0	0	0	0
pyrI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	1.0515	0.98969	0	1.0895	1.228	2.0781	0	1.0543	1.1431	0	0	0						
qor										5.4536	6.1476	4.7123	11.984	11.075	9.0883	9.8079	10.382	10.557	12.866	13.637	10.12	11.537	9.4872	6.0906										0	0	0.97882	1.0251	1.0281	2.15	1.9938	1.9251	1.9434	4.966	3.2847	2.1103	3.7639	2.1337	5.0272										0	0	0	0	0	1.1431	1.8763	1.9576	1.7787	3.0367	0	2.8901	3.6613	3.9162	4.4296
rbfA	3.1535	2.2547	1.5028	4.1489	2.0896	1.0272	1.023	1.0925	2.1864	2.3373	2.3053	0.78539	0	0	0	0	0	0	0	0	0	1.9229	0	1.0151	1.0597	3.701	4.1045	2.3457	5.3571	5.4604	3.3704	3.3204	3.2774	2.0932	1.9841	2.9364	0	0	0	0.99691	1.9251	0	1.9864	1.0949	1.0552	3.7639	1.0669	3.0163	0	0	1.095	0	3.4315	0	1.0515	1.9794	1.9345	2.179	1.228	0	0	1.0543	0	0	0.97882	0.88936	2.0245	0.9795	0.96338	1.8306	0	4.4296
rbsA	1.5768	2.2547	0.75139	0	0	0	0	0	0																1.0597	1.4804	0.82091	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
rbsB	20.498	18.037	21.79	20.744	22.986	21.57	21.483	21.849	19.677	14.803	17.674	14.922	16.778	18.828	15.904	14.712	18.457	20.059	19.299	22.03	19.228	19.229	20.029	19.287	25.432	22.946	19.702	17.593	15	17.473	15.729	16.602	17.479	14.653	16.865	16.64	12.301	12.337	11.825	9.9691	9.6256	10.689	10.925	8.7593	11.607	9.4098	11.735	11.06	20.895	24.767	21.9	29.147	24.021	22.325	24.185	23.753	17.41	22.879	22.104	20.781	27.29	20.032	21.718	17.825	18.598	15.119	20.245	19.59	22.158	15.56	14.686	15.061
rbsC	0	0.75156	0	0	0	0	0	0	0																0	0.74021	0.82091	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
rbsD	3.1535	3.7578	3.0056	3.1117	1.0448	1.0272	3.069	2.1849	3.2795	2.3373	1.5369	2.3562	1.1984	1.1075	2.2721	0	1.1536	1.0557	1.0721	0	0	0	0	1.0151	3.179	4.4412	2.4627	3.5186	3.2142	2.1842	3.3704	2.2136	1.0925	1.0466	1.9841	1.9576	1.0251	1.0281	0	0	0.96256	0.97171	0	0	0	0	0	0	2.3217	2.2516	2.19	4.3181	3.4315	2.0296	3.1545	2.9691	3.869	3.2685	2.456	4.1562	1.9493	2.1086	1.1431	0.93814	1.9576	1.7787	0	0.9795	0.96338	0.91532	0.97906	0.88592
rbsK	2.3651	3.0062	2.2542	1.0372	1.0448	1.0272	0	0	0	0	0	0	0	0	0	0	0	0							1.0597	2.2206	2.4627	0	1.0714	0	0	0	0	0	0	0	0	0	0	0	0	0							3.4825	5.629	5.475	0	0	3.0443	0	0	0	1.0895	1.228	1.0391	0	0	0	0	0	0						
rcsB	2.3651	2.2547	3.7569	2.0744	2.0896	1.0272	5.115	3.2774	4.3727	7.0118	4.6107	4.7123	4.7938	3.3226	3.4081	1.9616	2.3072	2.1115	3.2164	2.0981	2.024	2.8844	1.0541	3.0453	3.179	3.701	3.2836	3.5186	2.1428	0	3.3704	3.3204	2.1849	4.1865	4.9604	5.8729	4.1003	4.1122	5.3751	0.99691	1.9251	0.97171	0.99321	1.0949	1.0552	0	2.1337	2.0109	2.3217	2.2516	2.19	3.2386	1.1438	4.0591	2.103	1.9794	1.9345	3.2685	3.684	4.1562	1.9493	4.2172	3.4292	4.6907	1.9576	3.5575	3.0367	3.918	4.8169	3.6613	3.9162	3.5437
rdgC	1.5768	1.5031	2.2542	2.0744	2.0896	2.0543	3.069	1.0925	1.0932	0.77909	0.76845	1.5708	2.3969	1.1075	1.136	0.98079	0	1.0557	1.0721	0	1.012	0.96145	1.0541	1.0151	2.1193	2.2206	1.6418	1.1729	1.0714	1.0921	1.1235	2.2136	1.0925	2.0932	0.99207	0.97882	2.0501	1.0281	1.075	0	0.96256	0	0	0	0	0.94098	0	0	1.1608	1.1258	2.19	2.159	1.1438	3.0443	0	0.98969	0.96724	1.0895	1.228	1.0391	0.97464	1.0543	2.2861	0.93814	0.97882	0.88936	0	0.9795	0.96338	0.91532	0.97906	0.88592
recA	7.0954	7.5156	6.0111	6.2233	3.1345	4.1087	3.069	6.5547	3.2795	7.0118	5.3791	6.2831	7.1907	4.4301	4.5441	2.9424	4.6143	1.0557	3.2164	4.1961	4.048	2.8844	3.1624	3.0453	1.0597	6.6619	5.7464	2.3457	4.2857	4.3683	2.247	2.2136	2.1849	4.1865	5.9524	2.9364	4.1003	3.0842	3.2251	0.99691	2.8877	1.9434	2.9796	2.1898	4.2207	3.7639	4.2674	4.0217	6.965	5.629	7.665	4.3181	5.7192	1.0148	5.2576	4.9485	4.8362	5.4475	6.14	5.1953	6.8225	3.1629	4.5722	6.567	3.9153	4.4468	6.0735	5.877	5.7803	7.3226	4.8953	7.0874
renD	0	0	0.75139	0	0	1.0272	1.023	1.0925	1.0932																2.1193	0	0.82091	1.1729	0	1.0921	0	2.2136	0																1.1608	0	0	0	1.1438	2.0296	1.0515	1.9794	0.96724															
rfaD	7.0954	9.0187	6.0111	8.2978	10.448	4.1087	4.092	4.3698	5.4659	6.2327	5.3791	6.2831	5.9922	4.4301	5.6802	7.8464	4.6143	7.3901	5.3607	7.3432	7.0841	12.499	11.595	11.166	7.4176	7.4021	6.5673	4.6914	5.3571	5.4604	5.6174	3.3204	5.4623	4.1865	3.9683	6.8517	7.1755	5.1403	5.3751	5.9815	5.7754	5.8303	7.9457	6.5695	6.331	6.5869	5.3343	10.054	5.8041	6.7548	7.665	6.4771	4.5754	6.0887	6.3091	5.9382	6.7707	6.537	7.3681	8.3125	8.7718	6.3258	5.7153	6.567	7.8305	7.1149	10.122	8.8155	13.487	9.1532	8.8116	7.9733
rfaE	0.78838	0.75156	1.5028	0	0	0	1.023	1.0925	1.0932	0	0	0	0	0	0	0	0	0							0	0.74021	0	0	0	0	0	0	0	0	0	0.97882	0	0	0	0	0	0							0	1.1258	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
rfaL	0.78838	0	0	0	0	0	0	0	0	0.77909	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	1.0391	0	0	0	0	0	0						
rfbA	0.78838	2.2547	2.2542	3.1117	2.0896	2.0543	0	0	1.0932	0	0.76845	0	0	0	0	0	0	0							0	0.74021	1.6418	0	0	0	0	0	1.0925	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0.96724	0	0	1.0391	0	0	0	0	0	0						
rfbB	0	0	0	5.1861	7.3137	7.1901	0	0	0	3.1163	4.6107	6.2831	0	0	0	0	0	0	4.2886	4.1961	4.048	1.9229	2.1083	2.0302	0	0	0	5.8643	4.2857	5.4604	6.7409	6.6409	5.4623	5.2331	5.9524	4.8941	0	0	0	0	0	0	2.9796	4.3797	4.2207	3.7639	4.2674	3.0163	0	0	0	6.4771	5.7192	6.0887	3.1545	4.9485	3.869	6.537	4.912	0	0	0	0	0	0	0	4.049	2.9385	2.8901	3.6613	2.9372	5.3155
rfbC	2.3651	1.5031	1.5028	0	0	1.0272	1.023	0	0	0	0.76845	0.78539	0	0	0	0	0	0							0	0.74021	0	0	0	1.0921	0	1.1068	0	0	0	0	0	0	0	0	0	0							1.1608	1.1258	3.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
rffD	0	0	0	0	0	0	0	0	0																0	0.74021	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
rhlB	2.3651	2.2547	2.2542	2.0744	2.0896	2.0543	2.046	2.1849	2.1864	2.3373	2.3053	2.3562	2.3969	2.215	2.2721	0.98079	2.3072	2.1115	0	0	0	0	0	0	2.1193	2.2206	2.4627	2.3457	2.1428	3.2763	1.1235	4.4273	2.1849	4.1865	1.9841	1.9576	3.0752	2.0561	2.15	2.9907	2.8877	0.97171	2.9796	3.2847	2.1103	2.8229	1.0669	2.0109	2.3217	2.2516	2.19	2.159	2.2877	2.0296	3.1545	2.9691	1.9345	3.2685	2.456	2.0781	2.9239	2.1086	2.2861	1.8763	0.97882	2.6681	2.0245	1.959	1.9268	1.8306	0.97906	0.88592
rho	14.191	15.031	15.779	18.67	16.717	18.489	18.414	16.387	19.677	16.361	13.832	14.137	17.977	21.043	15.904	17.654	16.15	17.947	19.299	16.784	18.216	13.46	15.812	16.241	16.954	14.064	17.239	16.42	19.285	17.473	19.099	16.602	17.479	15.699	18.849	15.661	15.376	18.505	18.275	15.951	16.364	17.491	14.898	16.424	16.883	15.997	16.003	16.087	19.734	14.635	16.425	18.352	20.589	16.236	17.876	18.804	15.476	20.7	19.648	17.664	20.467	17.923	19.432	18.763	20.555	16.898	18.22	17.631	18.304	16.476	15.665	15.947
ribB	0	0	0	0	0	0	0	0	0																0	0.74021	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0															
ribC	0	0	0	0	0	0	0	0	0																0	0	0	0	0	0	0	0	0																0	0	0	0	0	1.0148	0	0	0															
ribH	9.4606	9.0187	10.519	9.335	10.448	11.299	12.276	10.925	12.025	10.907	12.295	10.21	14.381	13.29	12.496	9.8079	10.382	12.669	11.794	10.49	12.144	9.6145	11.595	11.166	6.3579	11.103	9.03	10.556	11.786	10.921	12.358	9.9613	10.925	12.559	12.897	11.746	11.276	11.309	11.825	7.9753	9.6256	8.7454	12.912	10.949	11.607	13.174	12.802	11.06	10.447	9.0064	8.76	12.954	13.726	12.177	11.567	10.887	10.64	13.074	14.736	13.508	11.696	11.597	14.86	11.258	12.725	10.672	10.122	10.775	11.561	11.899	11.749	9.7451
yhbC	3.1535	3.7578	2.2542	2.0744	2.0896	1.0272	0	0	0	2.3373	2.3053	1.5708	1.1984	0	1.136	0	2.3072	0	1.0721	0	0	1.9229	1.0541	1.0151	1.0597	2.2206	2.4627	1.1729	2.1428	1.0921	2.247	0	0	2.0932	1.9841	1.9576	1.0251	2.0561	0	0	0.96256	0	0.99321	1.0949	1.0552	1.882	0	1.0054	2.3217	2.2516	2.19	1.0795	2.2877	0	1.0515	0.98969	1.9345	1.0895	1.228	2.0781	0.97464	1.0543	2.2861	0.93814	0.97882	1.7787	1.0122	0	0.96338	0.91532	0	0.88592
rluB	3.1535	0.75156	0	0	0	0	0	0	0	0	0	0.78539	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88936	1.0122	0.9795	0	0	0	0
rmf										0	0	0	0	0	0	0.98079	0	2.1115	1.0721	2.0981	2.024	1.9229	1.0541	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	1.8306	0.97906	0
rnb	0.78838	1.5031	0.75139	0	0	0	0	0	1.0932	0.77909	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	1.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
rnc	0.78838	1.5031	1.5028	1.0372	1.0448	0	0	0	0	1.5582	1.5369	0.78539	1.1984	2.215	0	0.98079	2.3072	0	1.0721	0	1.012	0	0	0	1.0597	0	0.82091	1.1729	1.0714	0	0	1.1068	0	2.0932	0.99207	0.97882	1.0251	1.0281	0	0.99691	0	0	0.99321	1.0949	1.0552	0	1.0669	1.0054	2.3217	0	2.19	0	1.1438	0	0	0	0.96724	2.179	1.228	2.0781	0	1.0543	1.1431	0.93814	0.97882	0	0	0	0	0	0.97906	0.88592
rne	3.1535	5.2609	4.5083	2.0744	2.0896	3.0815	7.161	5.4623	3.2795	4.6745	4.6107	4.7123	0	1.1075	3.4081	0.98079	1.1536	1.0557	1.0721	1.049	1.012	0	0	0	0	2.9608	1.6418	0	1.0714	0	3.3704	2.2136	1.0925	4.1865	5.9524	5.8729	1.0251	3.0842	3.2251	0.99691	0	0.97171	0.99321	0	1.0552	1.882	0	2.0109	1.1608	1.1258	2.19	0	0	1.0148	1.0515	0	3.869	9.8055	4.912	8.3125	6.8225	7.3801	5.7153	5.6288	4.8941	6.2255	5.0612	6.8565	5.7803	2.746	3.9162	4.4296
rnk	0	0.75156	0	1.0372	0	1.0272	0	0	0																0	0	0	1.1729	0	0	0	0	1.0925																0	0	1.095	0	0	0	0	0	0															
rob	0	0	0.75139	0	0	0	0	0	0	2.3373	1.5369	0	1.1984	0	0	0	0	0	2.1443	1.049	1.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88592
rpe	0.78838	0.75156	0	0	0	0	0	0	0	2.3373	0.76845	0.78539	1.1984	1.1075	1.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9795	0	0.91532	0.97906	0.88592
rph	0.78838	0.75156	0	0	1.0448	2.0543	2.046	0	1.0932																0	0	0	0	0	1.0921	1.1235	0	1.0925																2.3217	1.1258	2.19	0	1.1438	0	1.0515	1.9794	0.96724															
rpiA	3.1535	3.0062	3.0056	2.0744	3.1345	4.1087	3.069	2.1849	2.1864	3.1163	3.0738	3.1416	1.1984	3.3226	0	1.9616	2.3072	2.1115	4.2886	3.1471	5.06	2.8844	4.2165	5.0755	1.0597	4.4412	3.2836	0	0	1.0921	0	1.1068	1.0925	2.0932	3.9683	2.9364	3.0752	4.1122	3.2251	1.9938	1.9251	1.9434	1.9864	2.1898	1.0552	3.7639	4.2674	3.0163	2.3217	3.3774	4.38	1.0795	0	2.0296	3.1545	2.9691	1.9345	3.2685	3.684	3.1172	4.8732	4.2172	2.2861	1.8763	2.9364	1.7787	3.0367	3.918	2.8901	4.5766	3.9162	3.5437
rplA	18.921	18.037	16.531	18.67	29.255	36.978	25.575	27.311	21.864	20.256	20.748	24.347	19.175	16.613	18.177	19.616	18.457	16.892	21.443	19.932	19.228	22.113	22.137	20.302	14.835	19.245	23.806	30.494	30	25.118	24.717	27.67	28.404	27.212	28.77	27.407	20.501	21.589	21.5	18.941	18.289	17.491	19.864	19.708	24.269	17.879	23.471	23.125	26.699	21.39	19.71	21.59	16.014	31.458	21.03	17.814	16.443	21.79	23.332	23.898	23.391	28.466	26.29	26.268	23.492	25.792	18.22	22.529	26.975	19.222	18.602	17.718
