# Program:featureCounts v1.5.0-p3; Command:"/users/joonhoonkim/bin/anaconda/bin/featureCounts" "-T" "24" "--primary" "-s" "1" "-t" "exon" "-g" "gene_id" "-a" "NC_017638_pBbA5c_pTrc99A.gtf" "-o" "RNA_Seq_counts_s1.txt" "mapped/bwa_all/3A-0-1.bam" "mapped/bwa_all/3A-0-2.bam" "mapped/bwa_all/3A-1-1.bam" "mapped/bwa_all/3A-12-1.bam" "mapped/bwa_all/3A-12-2.bam" "mapped/bwa_all/3A-1-2.bam" "mapped/bwa_all/3Amk-0-1.bam" "mapped/bwa_all/3Amk-0-2.bam" "mapped/bwa_all/3Amk-12-1.bam" "mapped/bwa_all/3Amk-12-2.bam" "mapped/bwa_all/3Amk-1-2.bam" "mapped/bwa_all/3Amk-1-3.bam" "mapped/bwa_all/WT-0-1.bam" "mapped/bwa_all/WT-0-2.bam" "mapped/bwa_all/WT-1-1.bam" "mapped/bwa_all/WT-12-1.bam" "mapped/bwa_all/WT-12-3.bam" "mapped/bwa_all/WT-1-2.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/bwa_all/3A-0-1.bam	mapped/bwa_all/3A-0-2.bam	mapped/bwa_all/3A-1-1.bam	mapped/bwa_all/3A-12-1.bam	mapped/bwa_all/3A-12-2.bam	mapped/bwa_all/3A-1-2.bam	mapped/bwa_all/3Amk-0-1.bam	mapped/bwa_all/3Amk-0-2.bam	mapped/bwa_all/3Amk-12-1.bam	mapped/bwa_all/3Amk-12-2.bam	mapped/bwa_all/3Amk-1-2.bam	mapped/bwa_all/3Amk-1-3.bam	mapped/bwa_all/WT-0-1.bam	mapped/bwa_all/WT-0-2.bam	mapped/bwa_all/WT-1-1.bam	mapped/bwa_all/WT-12-1.bam	mapped/bwa_all/WT-12-3.bam	mapped/bwa_all/WT-1-2.bam
yfaU	NC_017638.1	2342923	2343726	-	804	2	12	27	5	8	10	9	18	16	0	8	1	17	15	16	0	21	4
yfaV	NC_017638.1	2343744	2345033	-	1290	4	5	6	6	0	0	1	14	0	2	5	0	13	14	20	0	0	18
yfaW	NC_017638.1	2345090	2346295	-	1206	5	6	6	1	7	20	5	0	1	0	2	0	8	9	1	0	0	19
yfaX	NC_017638.1	2346310	2347092	-	783	0	0	28	1	7	11	17	0	0	0	0	0	18	15	0	0	0	0
yfaY	NC_017638.1	2347312	2348514	-	1203	1222	868	673	121	107	966	780	847	74	115	425	240	888	1473	1165	8	13	1014
yfaZ	NC_017638.1	2348614	2349156	-	543	36	29	24	0	0	60	25	9	2	0	36	13	53	80	48	0	0	65
nudI	NC_017638.1	2349435	2349860	+	426	406	251	165	51	63	211	214	173	18	33	39	63	254	289	124	8	7	142
ais	NC_017638.1	2349899	2350501	-	603	7	25	3	10	0	14	38	50	9	26	2	28	3	1	7	10	0	0
yfbE	NC_017638.1	2350809	2351948	+	1140	30	39	4	106	98	10	53	25	21	14	26	0	11	23	93	6	20	31
arnC	NC_017638.1	2351952	2352920	+	969	132	35	19	204	160	31	50	17	17	31	38	13	17	11	75	2	2	29
arnA	NC_017638.1	2352920	2354902	+	1983	383	371	230	492	313	366	308	250	117	80	330	86	142	158	1323	12	44	392
arnD	NC_017638.1	2354899	2355789	+	891	45	72	104	49	60	132	80	72	80	23	128	33	16	32	141	24	2	247
arnT	NC_017638.1	2355789	2357441	+	1653	79	35	156	41	40	205	82	81	86	41	171	87	4	66	236	9	16	339
yfbW	NC_017638.1	2357438	2357773	+	336	18	5	43	12	37	26	6	3	5	13	56	16	3	15	67	0	7	36
arnF	NC_017638.1	2357773	2358159	+	387	7	22	0	4	9	36	4	3	11	5	1	19	10	2	26	0	6	27
pmrD	NC_017638.1	2358153	2358419	-	267	93	84	8	17	5	94	70	41	7	7	37	16	24	70	9	0	0	154
menE	NC_017638.1	2358529	2359884	-	1356	476	440	36	16	15	130	459	439	100	33	462	190	716	1000	309	2	17	63
menC	NC_017638.1	2359881	2360843	-	963	844	921	85	156	97	166	724	682	150	48	506	176	1831	1338	731	12	33	288
menB	NC_017638.1	2360843	2361700	-	858	535	558	24	68	22	130	446	465	80	47	216	129	1302	1415	543	27	26	177
yfbB	NC_017638.1	2361715	2362473	-	759	374	327	45	10	58	126	382	387	86	67	226	67	422	664	401	9	11	144
menD	NC_017638.1	2362470	2364140	-	1671	906	807	106	67	75	176	801	1049	60	34	631	166	1223	1634	294	34	17	170
menF	NC_017638.1	2364229	2365524	-	1296	610	538	129	59	56	184	467	483	254	111	754	327	383	687	580	49	163	190
elaB	NC_017638.1	2365603	2365908	-	306	7852	7351	3234	4573	3547	7556	7722	9164	6244	1971	10646	6731	3714	6865	34122	1032	1748	26598
elaA	NC_017638.1	2365963	2366424	-	462	409	500	255	79	97	374	487	456	22	31	216	178	499	440	515	4	15	317
elaC	NC_017638.1	2366489	2367406	+	918	538	406	79	56	44	108	543	560	16	47	44	96	492	609	146	0	0	75
elaD	NC_017638.1	2367597	2368805	+	1209	104	98	10	1	0	26	72	52	14	7	25	40	39	48	40	0	0	39
yfbK	NC_017638.1	2368876	2370603	-	1728	0	10	9	0	15	10	19	1	7	5	5	3	4	16	6	8	0	18
yfbL	NC_017638.1	2370741	2371712	+	972	17	0	0	0	0	0	7	0	7	1	0	0	0	0	11	0	0	0
yfbM	NC_017638.1	2371815	2372318	+	504	44	45	11	3	11	0	23	4	13	0	1	0	37	44	0	0	0	0
yfbN	NC_017638.1	2372591	2373307	-	717	19	3	0	7	0	2	12	1	0	0	8	1	5	3	12	0	0	0
yfbO	NC_017638.1	2373462	2373938	+	477	14	25	0	5	0	7	9	5	0	0	0	20	7	21	11	0	0	0
yfbP	NC_017638.1	2373997	2374845	+	849	28	8	19	15	0	8	14	12	3	12	0	0	2	17	4	0	0	5
nuoN	NC_017638.1	2374929	2376386	-	1458	3791	3200	1286	317	305	2946	2609	2670	437	214	1906	928	3176	4066	4137	43	26	2609
nuoM	NC_017638.1	2376393	2377922	-	1530	1841	1398	1305	420	409	2007	1431	1552	318	192	1068	483	2173	2249	2180	11	3	1733
nuoL	NC_017638.1	2378086	2379927	-	1842	4394	3930	2907	810	720	5776	3924	4262	752	480	3238	1412	4489	5293	5742	46	41	4646
nuoK	NC_017638.1	2379924	2380226	-	303	207	293	172	61	47	276	186	224	60	15	173	13	227	190	251	0	0	208
nuoJ	NC_017638.1	2380223	2380777	-	555	952	774	476	137	175	904	489	652	87	36	527	344	929	698	999	1	2	697
nuoI	NC_017638.1	2380789	2381331	-	543	473	547	364	184	132	678	576	406	107	56	259	109	597	535	618	0	0	399
nuoH	NC_017638.1	2381346	2382323	-	978	1383	1204	785	345	305	1528	1072	1032	258	139	535	168	1393	1681	1630	7	10	814
nuoG	NC_017638.1	2382320	2385046	-	2727	3358	2928	1334	1173	1029	2535	2423	2627	590	328	1901	902	3290	3266	3616	45	51	2137
nuoF	NC_017638.1	2385099	2386436	-	1338	1379	1173	329	193	101	519	803	1060	110	63	462	133	1275	1180	952	15	13	535
nuoE	NC_017638.1	2386433	2386933	-	501	1313	985	290	180	176	403	935	885	111	50	442	257	1148	794	625	3	1	332
nuoC	NC_017638.1	2386936	2388738	-	1803	11646	9979	3031	1322	1174	4674	8059	8795	685	330	5096	2143	6848	8072	5233	23	42	3043
nuoB	NC_017638.1	2388832	2389494	-	663	1404	1254	253	158	64	331	797	778	99	56	488	192	727	842	515	2	3	262
nuoA	NC_017638.1	2389510	2389953	-	444	1653	1290	563	86	138	887	1116	960	102	123	720	414	953	1073	711	1	1	575
lrhA	NC_017638.1	2390584	2391522	-	939	1467	1059	1624	262	187	1477	887	938	269	209	850	697	1385	1305	1206	77	74	1792
yfbQ	NC_017638.1	2392442	2393659	+	1218	4616	3656	549	53	84	664	2526	2341	162	134	878	402	4736	4166	767	56	94	487
yfbR	NC_017638.1	2393743	2394342	+	600	316	284	129	72	116	291	252	254	28	4	90	57	167	150	167	0	2	117
yfbS	NC_017638.1	2394401	2396233	-	1833	1575	1039	2078	74	35	3462	996	1213	125	129	2228	1038	1008	1252	2340	3	17	2689
yfbT	NC_017638.1	2396320	2396970	-	651	1015	851	263	199	133	410	689	721	86	30	191	121	1270	840	658	8	19	334
yfbU	NC_017638.1	2396981	2397475	-	495	1297	1113	99	228	185	667	1085	1012	109	65	485	88	1595	2313	881	1	21	429
yfbV	NC_017638.1	2397558	2398013	-	456	560	523	397	574	644	550	423	445	353	270	373	193	406	470	1557	172	171	1081
ackA	NC_017638.1	2398351	2399553	+	1203	9706	8480	747	906	848	1372	8456	7666	716	475	2448	1260	15022	14667	1854	53	93	1128
pta	NC_017638.1	2399628	2401772	+	2145	31887	27173	2064	936	717	3569	23918	22969	2248	755	8672	3782	45781	42217	3714	142	269	1893
yfcC	NC_017638.1	2401962	2403482	+	1521	818	652	6	2	5	30	570	650	3	17	70	45	1725	2507	65	2	3	37
yfcD	NC_017638.1	2403515	2404057	-	543	360	354	82	33	54	57	320	252	72	71	226	119	235	327	354	0	20	195
yfcE	NC_017638.1	2404115	2404666	-	552	259	211	41	121	113	95	180	254	133	48	204	91	251	346	275	13	14	188
yfcF	NC_017638.1	2404722	2405366	-	645	70	62	30	89	53	80	66	90	117	47	177	83	72	29	244	27	14	63
yfcG	NC_017638.1	2405502	2406149	+	648	175	152	113	456	349	271	102	97	244	139	300	121	74	55	677	70	39	383
folX	NC_017638.1	2406206	2406568	+	363	840	645	1605	680	731	1406	585	801	394	351	544	497	435	475	1375	64	88	1436
yfcH	NC_017638.1	2406589	2407482	+	894	667	540	459	322	356	485	352	349	237	307	205	302	428	332	820	37	91	553
yfcI	NC_017638.1	2407530	2408420	-	891	27	19	41	11	17	69	37	28	1	19	26	8	6	14	38	0	16	85
hisP	NC_017638.1	2408617	2409390	-	774	28	16	6	19	7	22	26	21	4	9	52	8	12	21	36	0	0	65
hisM	NC_017638.1	2409398	2410114	-	717	38	32	95	42	36	93	47	58	22	21	55	42	31	36	183	10	0	83
hisQ	NC_017638.1	2410111	2410797	-	687	66	34	86	44	66	104	142	51	27	29	149	41	75	61	170	2	6	101
hisJ	NC_017638.1	2410887	2411669	-	783	505	477	574	211	159	771	399	473	201	81	566	238	397	471	1231	18	14	893
argT	NC_017638.1	2411890	2412672	-	783	102	89	141	113	52	185	50	41	45	43	184	88	54	61	471	9	23	160
ubiX	NC_017638.1	2412938	2413507	-	570	19	37	2	1	8	0	32	27	17	34	23	0	18	10	3	9	0	0
purF	NC_017638.1	2413602	2415119	-	1518	351	267	78	95	61	142	304	353	253	121	270	175	254	412	519	15	13	245
cvpA	NC_017638.1	2415156	2415644	-	489	435	333	171	156	142	305	387	363	237	100	267	172	400	522	764	3	19	245
dedD	NC_017638.1	2415903	2416565	-	663	196	138	105	15	18	94	90	86	22	35	58	27	127	268	117	7	12	91
folC	NC_017638.1	2416555	2417823	-	1269	883	714	183	46	37	230	880	597	88	43	266	103	836	1233	236	5	29	237
accD	NC_017638.1	2417893	2418807	-	915	3803	3287	577	169	112	791	3373	3227	335	169	940	215	4234	5104	1569	46	40	622
dedA	NC_017638.1	2418963	2419622	-	660	270	387	247	110	153	316	243	386	128	120	262	92	323	359	420	23	38	346
truA	NC_017638.1	2419705	2420517	-	813	247	154	163	90	20	300	197	357	64	42	86	81	224	254	158	13	8	237
usg	NC_017638.1	2420517	2421530	-	1014	645	624	271	234	241	384	555	707	162	90	527	137	712	888	501	18	62	307
pdxB	NC_017638.1	2421596	2422732	-	1137	1345	941	350	310	226	477	771	1019	148	80	433	128	1132	1250	800	43	50	507
flk	NC_017638.1	2422831	2423826	+	996	98	74	38	8	6	79	149	109	23	29	43	27	161	151	93	1	0	26
yfcJ	NC_017638.1	2423823	2425001	-	1179	133	89	14	16	4	18	117	118	13	1	32	19	50	68	39	1	6	23
fabB	NC_017638.1	2425266	2426486	-	1221	2790	1994	1587	394	290	2198	1365	1863	519	419	1167	664	4570	4059	978	42	73	817
mnmC	NC_017638.1	2426645	2428651	+	2007	617	407	205	38	18	397	406	465	115	113	651	342	600	774	394	8	16	294
yfcL	NC_017638.1	2428772	2429050	-	279	67	60	58	13	9	25	71	47	26	38	67	56	82	56	65	0	0	56
yfcM	NC_017638.1	2429084	2429632	-	549	853	720	198	22	21	309	680	665	158	139	608	285	818	1170	491	12	6	267
yfcA	NC_017638.1	2429632	2430441	-	810	871	726	211	28	45	276	450	564	120	100	386	222	726	923	417	0	10	383
mepA	NC_017638.1	2430441	2431265	-	825	385	290	68	45	30	49	179	158	83	67	123	51	287	390	223	3	4	57
aroC	NC_017638.1	2431269	2432354	-	1086	2334	1520	591	453	388	830	1416	1369	317	120	897	294	2235	3590	1421	43	14	670
prmB	NC_017638.1	2432389	2433321	-	933	1050	1025	482	187	140	718	1040	1113	213	170	623	368	1134	2131	1066	2	17	652
yfcN	NC_017638.1	2433487	2434038	+	552	515	413	218	42	27	343	308	298	52	19	355	145	209	367	630	0	5	291
yfcO	NC_017638.1	2434109	2434930	-	822	321	220	158	132	140	135	131	152	21	52	173	108	111	152	352	1	35	204
yfcP	NC_017638.1	2434932	2435471	-	540	0	0	0	5	0	0	4	11	3	0	0	0	7	1	6	0	0	0
yfcQ	NC_017638.1	2435468	2435956	-	489	13	3	0	10	9	11	2	1	8	0	0	0	20	17	25	2	21	0
yfcR	NC_017638.1	2435953	2436450	-	498	3	1	0	0	0	0	4	0	0	4	0	0	0	0	3	0	0	10
yfcS	NC_017638.1	2436465	2437217	-	753	0	0	0	0	0	0	0	0	0	2	8	0	0	10	3	0	0	0
yfcT	NC_017638.1	2437237	2438133	-	897	0	0	0	0	0	7	0	0	0	0	1	7	5	5	0	0	0	0
yfcU	NC_017638.1	2438146	2439825	-	1680	111	13	69	25	25	80	23	36	16	4	65	58	17	18	108	9	12	67
yfcV	NC_017638.1	2439964	2440527	-	564	16	2	11	0	0	13	0	14	0	2	0	0	10	2	0	0	11	0
sixA	NC_017638.1	2441208	2441693	-	486	220	124	67	322	276	49	186	204	162	91	119	37	140	167	272	119	183	156
fadJ	NC_017638.1	2441896	2444040	-	2145	611	360	72	102	74	95	162	144	57	61	213	67	236	267	270	1	1	147
fadI	NC_017638.1	2444040	2445350	-	1311	329	214	12	32	13	29	196	164	20	8	54	2	108	178	79	0	1	3
yfcZ	NC_017638.1	2445531	2445815	-	285	2163	1409	478	23	20	672	864	1454	109	68	377	289	1975	1795	660	26	61	503
fadL	NC_017638.1	2446187	2447527	+	1341	907	617	316	22	7	360	784	684	119	34	175	70	957	1247	785	0	0	288
yfdF	NC_017638.1	2447893	2448951	+	1059	200	146	69	9	1	66	137	124	28	8	125	41	69	134	30	0	0	26
vacJ	NC_017638.1	2449133	2449888	-	756	982	480	181	71	110	368	363	327	73	44	232	107	596	1044	772	9	5	363
yfdC	NC_017638.1	2450182	2451114	+	933	179	92	125	680	556	328	151	172	102	68	99	160	49	46	717	10	42	471
intS	NC_017638.1	2451426	2452583	+	1158	169	159	31	0	0	36	98	117	8	13	81	16	201	250	106	0	0	37
yfdG	NC_017638.1	2452736	2453098	+	363	1872	1651	294	21	4	267	1212	1377	81	67	383	190	1736	1989	344	1	4	235
yfdH	NC_017638.1	2453095	2454015	+	921	2540	2007	378	11	2	518	1745	1701	167	82	566	238	1893	2593	551	0	3	526
yfdI	NC_017638.1	2454012	2455343	+	1332	200	206	43	2	1	96	246	248	30	68	77	43	144	293	42	0	0	21
tfaS	NC_017638.1	2455684	2455986	+	303	81	35	20	124	114	120	36	37	33	27	47	110	20	20	195	26	23	223
yfdK	NC_017638.1	2455958	2456398	-	441	27	9	9	11	22	0	30	16	18	10	11	51	0	12	28	0	9	17
yfdL	NC_017638.1	2456425	2457018	-	594	7	0	0	0	16	11	0	0	0	0	0	16	4	0	0	0	0	0
yfdM	NC_017638.1	2456993	2457268	-	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yfdN	NC_017638.1	2457268	2457756	-	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yfdO	NC_017638.1	2457759	2458127	-	369	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yfdP	NC_017638.1	2458401	2458847	+	447	16	0	0	0	4	15	4	8	0	0	0	0	16	0	4	0	0	0
yfdQ	NC_017638.1	2458913	2459737	+	825	45	57	7	17	14	42	91	67	26	0	29	38	59	59	79	0	0	50
yfdR	NC_017638.1	2459865	2460401	+	537	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yfdS	NC_017638.1	2460392	2460754	+	363	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
yfdT	NC_017638.1	2460754	2461059	+	306	1	1	0	0	0	0	0	1	0	0	0	0	2	1	6	5	0	0
ypdJ	NC_017638.1	2460975	2461115	+	141	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
torI	NC_017638.1	2461191	2461391	+	201	94	25	117	11	41	93	20	31	23	71	47	36	25	22	35	0	10	179
dsdC	NC_017638.1	2461575	2462510	-	936	427	375	96	24	9	113	404	450	26	15	77	24	294	266	85	12	2	117
dsdX	NC_017638.1	2462728	2464065	+	1338	3040	2559	65	17	47	30	3449	3258	11	8	48	28	1829	1610	72	10	4	51
dsdA	NC_017638.1	2464083	2465411	+	1329	5103	4834	45	56	38	62	7218	7234	23	23	95	46	4583	3506	110	1	7	144
emrY	NC_017638.1	2465519	2467057	-	1539	8	29	0	0	0	5	19	11	0	0	22	3	1	10	8	0	2	0
emrK	NC_017638.1	2467057	2468220	-	1164	7	0	0	15	15	5	4	8	7	4	0	14	7	4	16	0	0	0
evgA	NC_017638.1	2468636	2469250	+	615	824	680	290	22	15	486	450	443	32	34	343	185	658	574	641	4	2	125
evgS	NC_017638.1	2469255	2472848	+	3594	3384	2108	457	16	22	673	2030	1968	388	241	995	668	1640	2396	792	4	21	566
yfdE	NC_017638.1	2472904	2474049	-	1146	3	1	0	66	47	7	3	0	13	16	2	14	3	1	10	0	0	39
yfdV	NC_017638.1	2474123	2475067	-	945	7	1	0	8	14	4	10	0	0	0	0	0	1	0	10	0	0	0
oxc	NC_017638.1	2475137	2476801	-	1665	15	17	20	12	8	15	16	3	2	7	0	1	3	17	15	1	10	1
frc	NC_017638.1	2476885	2478135	-	1251	19	2	17	0	0	0	4	2	0	0	1	0	11	2	9	2	0	1
yfdX	NC_017638.1	2478648	2479283	-	636	1	14	2	4	0	14	13	4	2	1	0	11	0	0	8	0	0	0
ypdI	NC_017638.1	2479579	2479854	+	276	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yfdY	NC_017638.1	2479931	2480173	-	243	937	826	1935	1307	1007	3394	508	501	232	172	1642	693	678	557	3610	75	104	2340
ddg	NC_017638.1	2480526	2481446	+	921	427	362	59	7	23	83	384	266	30	33	116	31	239	310	90	17	3	74
yfdZ	NC_017638.1	2481938	2483176	-	1239	162	134	58	37	84	166	161	281	21	7	83	147	386	336	508	0	7	377
ypdA	NC_017638.1	2483552	2485249	+	1698	400	324	330	56	63	375	293	178	43	49	192	85	251	257	361	7	20	131
ypdB	NC_017638.1	2485246	2485998	+	753	459	462	292	419	524	531	426	346	72	186	403	169	394	573	772	2	35	474
ypdC	NC_017638.1	2486011	2486868	+	858	48	26	14	3	10	17	22	24	1	19	35	10	18	24	75	2	3	21
fryA	NC_017638.1	2486871	2489366	-	2496	58	26	11	15	0	28	32	27	0	10	12	7	8	27	15	1	6	0
ypdE	NC_017638.1	2489391	2490428	-	1038	12	19	0	4	0	8	7	6	6	1	0	0	5	6	12	0	0	3
ypdF	NC_017638.1	2490428	2491513	-	1086	5	6	0	9	0	2	11	8	0	0	3	14	0	0	11	0	4	1
fryC	NC_017638.1	2491528	2492775	-	1248	1	15	5	0	3	0	1	2	4	9	0	0	2	4	0	0	0	0
ypdH	NC_017638.1	2492797	2493123	-	327	0	6	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0
glk	NC_017638.1	2493342	2494307	-	966	6023	4435	934	312	274	1663	4088	4204	346	200	858	417	5013	5344	1258	187	241	688
yfeO	NC_017638.1	2494511	2495767	+	1257	83	65	29	176	142	86	70	54	7	5	32	33	73	57	137	0	12	138
ypeC	NC_017638.1	2495882	2496208	+	327	10	7	0	0	0	15	1	5	0	2	2	1	5	5	16	0	0	14
mntH	NC_017638.1	2496349	2497587	-	1239	96	102	204	481	551	473	71	101	231	170	403	375	45	30	279	423	680	363
nupC	NC_017638.1	2497923	2499125	+	1203	1577	848	307	109	117	398	844	666	181	125	274	174	1330	1516	358	12	38	315
yfeA	NC_017638.1	2500524	2502713	-	2190	508	417	231	32	30	350	441	516	99	75	573	225	333	369	385	9	14	332
yfeC	NC_017638.1	2503348	2503692	+	345	954	773	145	37	13	339	618	596	52	28	241	142	518	513	382	7	2	404
yfeD	NC_017638.1	2503694	2504086	+	393	57	59	77	7	7	20	47	53	15	1	25	22	56	42	22	0	0	41
gltX	NC_017638.1	2504138	2505553	-	1416	2892	2260	258	353	339	394	2294	2347	254	115	447	316	3541	6097	770	38	68	452
xapR	NC_017638.1	2506474	2507358	-	885	132	69	92	34	13	130	38	62	11	14	77	56	83	53	142	1	12	109
ECDH1ME8569_2338	NC_017638.1	2507399	2507557	-	159	0	0	0	0	1	0	0	19	0	0	0	0	0	5	0	0	0	9
xapB	NC_017638.1	2507610	2508866	-	1257	28	35	5	6	19	73	29	55	26	30	95	64	40	8	54	0	0	24
xapA	NC_017638.1	2508926	2509759	-	834	0	3	0	2	0	9	10	0	0	0	0	23	0	9	0	0	0	0
yfeN	NC_017638.1	2510008	2510772	+	765	14	0	3	14	0	18	18	24	38	11	3	12	10	33	18	0	1	20
yfeR	NC_017638.1	2510811	2511737	-	927	102	67	97	60	18	151	52	105	35	11	141	42	54	51	174	3	5	70
yfeH	NC_017638.1	2511827	2512825	+	999	509	388	216	68	53	441	315	247	61	65	191	98	372	352	357	6	7	261
ypeB	NC_017638.1	2512822	2513040	-	219	0	0	0	2	8	0	6	4	0	1	0	0	11	1	0	0	0	0
ligA	NC_017638.1	2513042	2515057	-	2016	702	783	188	221	182	365	415	460	19	28	219	33	736	810	346	5	6	117
zipA	NC_017638.1	2515128	2516114	-	987	831	608	384	188	115	394	455	523	98	242	248	151	627	512	538	33	8	507
cysZ	NC_017638.1	2516344	2517105	+	762	310	255	28	9	36	63	165	236	15	18	35	5	474	285	49	5	13	17
cysK	NC_017638.1	2517290	2518261	+	972	972	971	9302	3404	2751	14573	860	756	1260	676	2765	1376	978	799	2240	135	223	1415
ptsH	NC_017638.1	2518645	2518902	+	258	17281	15522	904	572	431	1500	11902	10378	732	410	2489	845	12753	12668	4176	117	109	1729
ptsI	NC_017638.1	2518947	2520674	+	1728	45779	41336	3378	3289	2561	6944	28659	27676	3353	2039	8481	3982	40985	47126	15866	522	805	7629
crr	NC_017638.1	2520715	2521224	+	510	20853	17518	2489	2877	2509	5067	16403	16739	2683	1639	4808	2374	19423	21158	12260	439	689	8520
pdxK	NC_017638.1	2521267	2522118	-	852	1325	1235	552	149	60	929	1223	937	65	34	721	249	2813	1905	1594	27	3	656
yfeK	NC_017638.1	2522223	2522597	+	375	0	8	0	3	12	17	9	1	0	2	10	0	22	36	15	1	1	7
yfeS	NC_017638.1	2522630	2523364	+	735	130	73	70	32	24	53	112	82	29	27	56	54	81	211	137	12	1	101
cysM	NC_017638.1	2523553	2524464	-	912	333	222	793	55	41	1273	78	177	28	39	105	67	284	181	389	0	0	172
cysA	NC_017638.1	2524598	2525695	-	1098	91	59	1460	274	159	3009	54	57	166	186	174	69	17	32	230	0	12	236
cysW	NC_017638.1	2525685	2526560	-	876	26	21	2182	257	311	2919	33	32	339	208	304	175	10	36	176	13	9	310
cysU	NC_017638.1	2526560	2527393	-	834	55	15	3570	168	209	4911	35	24	193	179	299	316	8	16	220	13	4	233
cysP	NC_017638.1	2527393	2528409	-	1017	47	33	4020	255	244	5309	61	38	242	209	588	317	86	13	96	9	5	99
ucpA	NC_017638.1	2528713	2529504	-	792	9122	5232	2418	51	40	4139	4000	3605	63	91	927	421	7126	6333	1771	26	11	1445
yfeT	NC_017638.1	2529633	2530490	-	858	54	75	32	4	1	62	66	48	7	4	48	2	72	41	47	0	4	37
murQ	NC_017638.1	2530654	2531550	+	897	752	673	61	19	17	133	298	309	0	14	14	21	494	787	50	1	0	27
murP	NC_017638.1	2531554	2532978	+	1425	451	270	83	13	28	104	126	127	25	3	21	41	185	132	64	8	1	21
yfeW	NC_017638.1	2532995	2534287	+	1293	156	84	25	3	0	5	57	15	0	5	6	1	80	40	12	0	0	19
yfeX	NC_017638.1	2534527	2535426	-	900	3248	2482	376	39	41	855	2206	2340	207	100	1141	385	3922	4854	1300	14	17	874
yfeY	NC_017638.1	2535522	2536097	-	576	97	73	14	17	19	24	75	77	49	26	14	44	106	191	60	1	18	16
yfeZ	NC_017638.1	2536158	2536607	-	450	107	113	44	10	10	59	91	126	16	5	54	15	188	162	95	0	2	33
ypeA	NC_017638.1	2536594	2537019	-	426	265	339	51	33	11	184	271	312	17	26	182	39	295	197	237	0	1	137
amiA	NC_017638.1	2537233	2538102	+	870	369	313	65	9	33	216	241	301	64	29	413	103	155	193	335	29	13	127
hemF	NC_017638.1	2538106	2539005	+	900	282	269	55	30	51	184	302	177	64	45	246	279	141	200	221	1	2	101
eutR	NC_017638.1	2539011	2540063	-	1053	42	42	53	165	74	42	30	53	25	15	83	23	21	46	119	7	26	122
eutK	NC_017638.1	2540109	2540609	-	501	16	19	1	58	35	6	8	11	7	0	12	14	8	20	17	9	1	0
eutL	NC_017638.1	2540622	2541281	-	660	11	7	0	30	22	0	13	0	0	0	0	12	9	26	13	0	11	23
eutC	NC_017638.1	2541291	2542178	-	888	55	33	0	26	58	22	50	34	33	0	53	35	39	38	95	0	10	63
eutB	NC_017638.1	2542199	2543560	-	1362	83	63	35	188	170	46	32	28	13	24	99	33	42	20	199	6	76	91
eutA	NC_017638.1	2543572	2544975	-	1404	18	5	4	61	20	10	25	32	28	7	22	12	22	24	58	5	1	20
eutH	NC_017638.1	2544972	2546198	-	1227	32	20	13	52	34	23	46	40	22	3	53	62	7	0	151	5	6	106
eutG	NC_017638.1	2546415	2547602	-	1188	7	6	6	9	0	1	0	12	0	3	9	0	23	0	0	0	0	12
eutJ	NC_017638.1	2547592	2548428	-	837	6	2	0	0	0	0	1	0	0	0	0	0	7	0	5	0	0	0
eutE	NC_017638.1	2548439	2549842	-	1404	15	8	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0
cchB	NC_017638.1	2549854	2550141	-	288	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
eutM	NC_017638.1	2550248	2550541	-	294	2	0	2	8	0	8	1	1	0	0	0	1	10	3	8	0	0	0
eutD	NC_017638.1	2550580	2551596	-	1017	1	25	21	3	2	28	17	39	5	6	7	0	23	10	46	4	0	50
eutT	NC_017638.1	2551593	2552396	-	804	13	18	5	0	5	0	11	0	8	0	10	0	2	6	7	0	0	0
eutQ	NC_017638.1	2552393	2553094	-	702	0	7	0	1	0	0	3	10	0	0	0	0	7	0	0	0	0	27
eutP	NC_017638.1	2553069	2553548	-	480	1	0	0	2	3	0	1	0	0	0	0	0	0	2	0	0	0	0
eutS	NC_017638.1	2553561	2553896	-	336	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
maeB	NC_017638.1	2554189	2556468	-	2280	1406	1092	1147	386	305	2044	944	928	203	156	911	425	772	828	1926	23	68	1411
talA	NC_017638.1	2556757	2557707	+	951	593	498	248	1035	995	536	422	379	1092	402	1409	531	259	207	3661	129	235	2146
tktB	NC_017638.1	2557727	2559730	+	2004	1095	898	385	1866	1520	918	727	741	1237	460	3011	1001	463	595	8145	284	458	2837
